lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
26.10452,50.05108,0.3123728959249583,1742.939453125,2089.5,1771.5234375,-37,2245.84375,23,26.75,884.5390625
28.02634,48.68427,0.32006008279558046,1689.1976318359375,2019.140625,1689.625,9,2187.21875,27,27.125,888.7890625
17.55167,44.55389,0.3821086041415828,1943.6771240234373,2399.7578125,2256.9375,1161,2547.65625,22,26.0625,833.0
24.52895,47.72041,0.37069153587854015,1869.2557373046875,2242.828125,2069.0546875,565,2444.1640625,27,26.75,843.890625
26.2,44.21667,0.3602731701501495,1828.7691650390625,2189.3203125,2014.4296875,589,2387.71875,27,26.3125,837.84375
26.9,49.86667,0.30738769127132404,1732.65673828125,2063.7109375,1750.640625,-6,2220.8046875,23,26.5625,877.1015625
26.84653,49.84698,0.3354116664000752,1774.7813720703125,2104.3671875,1834.1328125,4,2290.90625,27,26.75,869.828125
20.3,42.71667,0.38805574475106674,1939.6131591796875,2378.828125,2259.921875,1126,2552.5859375,24,26.75,817.6953125
28.30947,35.29911,0.3952164231423448,2098.44580078125,2374.2578125,2895.9140625,1870,2629.6484375,28,15.6875,478.9765625
24.98333,38.83333,0.38457127783033374,1945.5657958984373,2349.984375,2519.3828125,986,2553.46875,25,25.625,671.28125
28.53,39.16417,0.3978151557462998,1995.2117919921875,2291.1171875,2538.296875,847,2572.796875,31,22.0,655.8984375
28.15,36.33333,0.38696164614780326,2016.6817626953125,2348.7109375,2701.40625,898,2606.515625,28,21.375,564.8828125
19.93333,51.41667,0.3764625492741075,1885.501220703125,2308.1875,2059.6171875,203,2483.53125,26,29.1875,884.953125
20.18333,52.93333,0.3759034114641744,1887.39404296875,2309.75,2091.1953125,143,2493.5546875,26,29.3125,868.21875
19.49501,45.14205,0.36932591856280855,1929.5528564453125,2338.3828125,2021.3515625,871,2502.1484375,24,26.5625,876.0625
19.5,45.16667,0.3842964283245166,1937.8304443359373,2372.0859375,2180.3046875,885,2537.8125,24,26.625,862.2734375
16.71194,41.77528,0.31218345424542066,1789.9298095703125,2180.953125,1682.1796875,35,2275.4375,19,28.9375,967.03125
17.40461,44.10054,0.38372719026726443,1909.1756591796875,2410.140625,2311.0546875,1860,2553.0390625,22,23.375,779.9296875
23.96667,50.23333,0.3627098846817657,1833.950927734375,2207.671875,1926.1171875,168,2404.5859375,28,27.375,888.4140625
21.11667,42.88333,0.3806616847809916,1905.2935791015625,2346.5,2182.0703125,982,2516.1953125,24,27.4375,834.375
19.71667,43.2,0.3840694255115155,1921.826171875,2375.8046875,2248.4453125,1222,2540.375,23,26.3125,824.8125
20.86667,42.81667,0.38338430528166334,1921.0936279296875,2353.09375,2209.4375,978,2527.1875,24,27.375,833.8203125
24.8,50.73333,0.3345637721535599,1749.1182861328125,2109.6875,1726.6484375,2,2274.5546875,26,28.1875,929.953125
27.68333,35.81667,0.3504342885767794,1993.232177734375,2253.9375,2457.078125,762,2480.4765625,27,22.9375,544.4453125
24.58333,39.61667,0.37702698075040836,1892.088623046875,2308.1484375,2320.84375,651,2502.4765625,25,28.375,748.2734375
27.18694,49.07361,0.33848813792424925,1754.4896240234375,2093.3125,1815.78125,33,2294.5703125,28,27.0625,869.875
27.17453,49.05622,0.3431289534317731,1754.7528076171875,2093.5,1818.3828125,27,2295.53125,29,27.0625,869.4765625
26.88333,36.03333,0.3558325752463818,1931.370361328125,2287.765625,2514.53125,-57,2488.5,24,25.875,645.8515625
21.33515,40.05199,0.340238971808949,1792.638671875,2242.53125,1967.546875,379,2379.046875,21,29.875,861.3125
16.93957,42.90533,0.29215883642126594,1637.361328125,2049.0546875,1449.1484375,83,2140.3671875,19,30.875,1004.734375
22.03849,49.37493,0.36990616625420925,1854.6845703125,2254.0234375,1955.0859375,225,2436.640625,27,28.375,905.6484375
29.53909,43.63564,0.3659796229538311,1848.9632568359373,2140.8125,2071.53125,453,2394.9765625,31,24.3125,789.40625
29.39674,43.56137,0.368186461489419,1854.3133544921875,2150.7265625,2098.015625,473,2402.421875,31,24.375,781.671875
23.04097,50.96942,0.3615805886950075,1835.7733154296875,2221.6953125,1922.171875,102,2408.578125,27,28.3125,899.6875
25.68278,48.25556,0.3576120449275285,1812.2423095703125,2167.03125,1919.421875,367,2370.2265625,28,26.75,869.6484375
25.61802,48.07672,0.35941802719950666,1817.4610595703125,2175.0234375,1940.078125,388,2380.2421875,28,26.75,864.0625
24.9725,45.81861,0.3729712680734627,1874.5596923828125,2245.9921875,2130.4609375,727,2453.6484375,27,26.3125,814.5078125
18.99355,43.2477,0.3793206050680483,1924.193603515625,2370.8515625,2256.359375,1495,2525.3125,22,24.875,814.109375
26.74103,47.45922,0.35760806578647586,1802.170166015625,2145.828125,1933.625,373,2354.0703125,29,26.3125,849.1484375
19.45417,41.79639,0.32684323724056685,1733.46484375,2165.1875,1773.765625,586,2283.1484375,21,28.625,914.546875
28.82472,41.84222,0.3877414884377206,1927.2115478515625,2220.578125,2295.1953125,732,2496.2890625,32,22.875,729.421875
27.26772,36.53328,0.3616017214081659,1930.23486328125,2298.96875,2534.28125,737,2515.234375,26,23.8125,567.71875
21.70546,39.96084,0.34827785300847414,1801.4339599609375,2257.8203125,2001.6015625,386,2398.703125,22,29.8125,857.1484375
27.01056,49.58972,0.3231307288355306,1747.89208984375,2090.9765625,1822.171875,14,2266.6953125,25,26.875,861.2578125
30.96667,38.26667,0.3682852503597517,1894.2520751953125,2197.5546875,2478.9921875,682,2458.4765625,29,21.875,624.0859375
20.75,42.06667,0.3775442528093801,1919.37939453125,2339.4921875,2258.9453125,1295,2506.703125,23,26.125,792.9453125
28.85624,35.4682,0.39903861647128175,2027.1910400390625,2364.6484375,2884.015625,1009,2640.1796875,29,20.375,506.828125
21.45,39.56667,0.341445578153306,1794.58935546875,2233.765625,1928.1796875,118,2371.9921875,22,30.25,884.3203125
24.89016,50.61357,0.35312660979984584,1824.8104248046875,2183.53125,1926.640625,112,2378.265625,27,27.4375,873.3515625
24.20997,48.56898,0.3669332455951509,1839.832275390625,2215.4375,1956.4296875,346,2410.8515625,28,27.125,881.203125
22.65,44.95,0.3738300367690545,1893.83154296875,2304.3046875,2145.484375,1004,2481.15625,24,26.875,836.15625
19.9,51.56667,0.37682649776129196,1885.5506591796875,2310.203125,2065.34375,199,2486.609375,26,29.25,882.859375
21.60722,40.11816,0.3507169418298042,1808.073486328125,2274.1796875,2043.046875,577,2410.828125,22,28.5625,839.984375
29.56626,37.03372,0.40044391636716725,2025.09033203125,2308.1875,2711.75,1039,2600.625,31,19.875,579.4921875
23.18333,44.0,0.368671730986017,1864.7994384765625,2284.625,2117.5703125,956,2461.3515625,24,26.875,833.5
29.83333,38.98333,0.38692846150144644,1952.1685791015625,2229.703125,2433.25,564,2521.9140625,32,22.3125,668.59375
18.67428,43.24513,0.37817463098033466,1982.3052978515625,2384.7109375,2260.53125,1785,2543.84375,23,22.625,773.609375
25.23333,46.75,0.3747950262392058,1880.3736572265625,2237.5390625,2128.0703125,773,2445.578125,28,25.5,808.5625
27.4749,49.30111,0.30664868524248506,1720.4532470703125,2034.4453125,1703.84375,7,2200.953125,24,26.375,884.4921875
27.4358,46.35166,0.35620538954335607,1801.85791015625,2139.96875,1944.3125,341,2360.5859375,29,26.25,841.2890625
26.5953,50.07684,0.32037907700901375,1749.9093017578125,2080.1015625,1761.4921875,4,2242.4609375,25,26.5,886.734375
30.5,42.75,0.3644692116562831,1847.216552734375,2118.609375,2067.1953125,364,2386.5,32,23.6875,780.390625
25.47113,37.04886,0.36459352643843246,1912.095703125,2281.6953125,2357.1640625,0,2479.5390625,26,26.625,716.3046875
27.82545,43.20033,0.3752216439278489,1880.245849609375,2202.359375,2165.7265625,666,2446.7421875,30,24.375,774.8125
17.96228,43.36364,0.38572425756756124,2016.363525390625,2403.6015625,2517.21875,2283,2567.21875,22,18.375,703.890625
27.85454,42.28018,0.37596289285294765,1895.23388671875,2226.7265625,2253.953125,768,2469.1640625,29,23.9375,744.78125
26.53333,40.48333,0.37480478008051377,1909.0040283203125,2264.9140625,2371.4765625,1072,2480.421875,26,24.25,709.8203125
28.07721,35.53176,0.3681379712135636,1953.325927734375,2269.96875,2489.703125,290,2494.21875,29,25.75,579.171875
27.35,41.0,0.39466174411500654,1953.557861328125,2282.9375,2425.796875,942,2543.859375,30,23.75,699.6328125
